 Id,            Administration organisatrice,            Grade,            Nombre postes,            Dèlai dépot,            Date concours,            Date publication,            Candidats convoqués pour l'examen écrit,            Candidats convoqués pour l'entretien oral,            Résultats,            Désistements,            Pour plus d'informations,            Fichiers attachés
concour_e0c0id9253,Ministère des Affaires étrangères et de la coopération internationale,Technicien de 3ème grade ~ Echelle 9,10,2017-10-04,2017-10-22,2017-09-19,-,-,-,-,Email : concours2017@maec.gov.ma,http://emploi-public-files.ma/fichiers/upload/TECHfr.pdf|http://emploi-public-files.ma/fichiers/upload/TECHar.pdf|http://emploi-public-files.ma/fichiers/upload/TECH91.pdf
concour_e0c0id9251,Ministère des Affaires étrangères et de la coopération internationale,Secrétaire des affaires étrangères ~ Echelle 10,30,2017-10-04,2017-10-16,2017-09-19,http://emploi-public-files.ma/fichiers/upload/OralSAE16171.pdf|,-,-,-,Email : concours2017@maec.gov.ma,http://emploi-public-files.ma/fichiers/upload/SAE.pdf|http://emploi-public-files.ma/fichiers/upload/SAEar.pdf|http://emploi-public-files.ma/fichiers/upload/SAEfr.pdf
concour_e0c0id9102,Ministère de l'économie et des finances -Administration des Douanes et Impôts Indirects-,Technicien de 3ème grade ~ Echelle 9,226,2017-09-08,2017-10-22,2017-08-22,-,-,-,-,Téléphone : 0537579256Email : a.karama@douane.gov.ma,http://emploi-public-files.ma/fichiers/upload/arrtderecrutement.pdf|http://emploi-public-files.ma/fichiers/upload/Avisdeconcours45.pdf
concour_e0c0id9059,Haut commissariat aux anciens résistants et anciens membres de l’armée de libération,Administrateur 2ème grade ~ Echelle 11,7,2017-08-31,2017-10-01,2017-08-15,http://emploi-public-files.ma/fichiers/upload/Liste_publie.pdf|,-,-,-,Email : c.chokrafi@hcar.gov.ma,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6078.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier6077.pdf
concour_e0c0id9049,Ministère des habous et des affaires islamiques,Administrateur 3ème grade ~ Echelle 10 (par contrat),24,2017-09-12,2017-10-16,2017-08-11,-,-,-,-,Nom : مديرية تدبير شؤون القيمين الدينيين Téléphone : 0537279801Email : gdapr2016@gmail.com,http://emploi-public-files.ma/fichiers/upload/000172.pdf
concour_e0c0id8988,"Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts - Département de l’Agriculture",Architecte 1er grade ~ Echelle 11,1,2017-09-08,2017-11-14,2017-08-08,-,-,-,-,Email : http://concours.agriculture.gov.ma,http://emploi-public-files.ma/fichiers/upload/Avisconcoursarchitecte2017.pdf
concour_e0c0id8967,Ministère de l'économie et des finances - Trésorerie Générale du Royaume -,Administrateur 2ème grade ~ Echelle 11,171,2017-08-23,2017-10-15,2017-08-07,http://emploi-public-files.ma/fichiers/upload/AffichageconcoursVF12.pdf|,-,-,-,Email : khalid.azzouzi@tgr.gov.ma,http://emploi-public-files.ma/fichiers/upload/Avis_Conc_RC_Adm2gr_2017.pdf|http://emploi-public-files.ma/fichiers/upload/arrt69.pdf
concour_e0c0id8966,Ministère de l'économie et des finances,Inspecteur des Finances ~ Echelle 11,25,2017-08-23,2017-10-15,2017-08-07,http://emploi-public-files.ma/fichiers/upload/ListedesconvoquesConcoursInspecteursdesFinances.pdf|,-,-,-,Téléphone : 0537677239Email : concours@finances.gov.ma,http://emploi-public-files.ma/fichiers/upload/AvisconcoursIGF2017VD1.pdf|http://emploi-public-files.ma/fichiers/upload/ArrtconcoursInspFin_IGF2017.pdf
concour_e0c0id8965,Ministère de l'économie et des finances,Ingénieur d'Etat 1er grade ~ Echelle 11,13,2017-08-23,2017-10-15,2017-08-07,http://emploi-public-files.ma/fichiers/upload/ListeconvoquesconcoursdesIngenieursdEtat1erGr2.pdf|,-,-,-,Téléphone : 0537677239Email : concours@finances.gov.ma,http://emploi-public-files.ma/fichiers/upload/ArrtconcoursIngdEtat2017.pdf|http://emploi-public-files.ma/fichiers/upload/Avis_Conc_Ing1erGr20171.pdf
concour_e0c0id8909,"Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts - Département de l’Agriculture",Administrateur 3ème grade ~ Echelle 10,8,2017-09-06,2017-10-29,2017-07-31,-,-,-,-,Email : http://concours.agriculture.gov.ma,http://emploi-public-files.ma/fichiers/upload/Avisconcoursadministrateurs3grd2017.pdf|http://emploi-public-files.ma/fichiers/upload/ArrtConcoursAdmin3G.pdf
concour_e0c0id8908,"Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts - Département de l’Agriculture",Administrateur 2ème grade ~ Echelle 11,2,2017-09-06,2017-10-29,2017-07-31,-,-,-,-,Email : http://concours.agriculture.gov.ma,http://emploi-public-files.ma/fichiers/upload/Avisconcoursadmin2grd2017.pdf|http://emploi-public-files.ma/fichiers/upload/ArrtConcoursAdmin2G.pdf
concour_e0c0id8876,"Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts - Département de l’Agriculture",Technicien de 4ème grade ~ Echelle 8,4,2017-08-31,2017-10-15,2017-07-27,http://emploi-public-files.ma/fichiers/upload/liste_tech4concours20172.pdf|,-,-,-,Email : http://concours.agriculture.gov.ma,http://emploi-public-files.ma/fichiers/upload/Avisconcourstechniciens4grd2017.pdf|http://emploi-public-files.ma/fichiers/upload/ArrtConcoursTK4G.pdf
concour_e0c0id8875,"Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts - Département de l’Agriculture",Technicien de 3ème grade ~ Echelle 9,16,2017-08-31,2017-10-15,2017-07-27,http://emploi-public-files.ma/fichiers/upload/liste_tech3_concours2017.pdf|,-,-,-,Email : http://concours.agriculture.gov.ma,http://emploi-public-files.ma/fichiers/upload/Avisconcourstechniciens3grd2017.pdf|http://emploi-public-files.ma/fichiers/upload/ArrtConcoursTK3G.pdf
concour_e0c0id8874,"Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts - Département de l’Agriculture",Ingénieur d'Etat 1er grade ~ Echelle 11,29,2017-08-25,2017-10-01,2017-07-27,http://emploi-public-files.ma/fichiers/upload/LISTECANDING2017.pdf|,-,-,-,Email : http://concours.agriculture.gov.ma,http://emploi-public-files.ma/fichiers/upload/ArrtConcoursIng1G.pdf|http://emploi-public-files.ma/fichiers/upload/Avisconcoursingenieurs2017.pdf
concour_e0c0id8865,Ministère de l’intérieur -Direction Générale de la Sûreté Nationale-,Gardien de la paix ~ Echelle 5,4120,2017-08-15,2017-09-24,2017-07-26,-,-,-,-,Email : ***,http://emploi-public-files.ma/fichiers/upload/AvisDeConRecrutDGSN.pdf
concour_e0c0id8864,Ministère de l’intérieur -Direction Générale de la Sûreté Nationale-,Inspecteur de police ~ Echelle 6,1000,2017-08-15,2017-09-24,2017-07-26,-,-,-,-,Email : ***,http://emploi-public-files.ma/fichiers/upload/AvisDeConRecrutDGSN.pdf
concour_e0c0id8863,Ministère de l’intérieur -Direction Générale de la Sûreté Nationale-,Officier de paix ~ Echelle 8,70,2017-08-15,2017-09-24,2017-07-26,-,-,-,-,Email : ***,http://emploi-public-files.ma/fichiers/upload/AvisDeConRecrutDGSN.pdf
concour_e0c0id8862,Ministère de l’intérieur -Direction Générale de la Sûreté Nationale-,Officier de police ~ Echelle 8,260,2017-08-15,2017-09-24,2017-07-26,-,-,-,-,Email : ***,http://emploi-public-files.ma/fichiers/upload/AvisDeConRecrutDGSN.pdf
concour_e0c0id8861,Ministère de l’intérieur -Direction Générale de la Sûreté Nationale-,Commissaire de police ~ Echelle 10,90,2017-08-15,2017-09-24,2017-07-26,-,-,-,-,Email : ****,http://emploi-public-files.ma/fichiers/upload/AvisDeConRecrutDGSN.pdf
concour_e0c0id8860,Ministère de l’intérieur -Direction Générale de la Protection Civile-,Sergent ~ Echelle 5,170,2017-08-14,2017-09-15,2017-07-25,http://emploi-public-files.ma/fichiers/upload/ETATDESCANDIDATSADMISCONCOURSSERGENT2017.pdf|,-,-,-,Email : nabil.charkaoui2017@gmail.com,http://emploi-public-files.ma/fichiers/upload/AVIS_CONCOURS_SOUS_OFFICIERS_PC_2017.pdf|http://emploi-public-files.ma/fichiers/upload/DECISION_OUVERTURE_CONCOURS_SOUS_OFFICIERS_PC_2017.pdf|http://emploi-public-files.ma/fichiers/upload/changementavisconcoursdessergents.pdf
concour_e0c0id8859,Ministère de l’intérieur -Direction Générale de la Protection Civile-,Lieutenant ~ Echelle 10,30,2017-08-14,2017-09-11,2017-07-25,http://emploi-public-files.ma/fichiers/upload/ETATDESCANDIDATSADMISCONCOURSLIEUTENANTS2017PORTAIL.pdf|,-,-,-,Email : nabil.charkaoui2017@gmail.com,http://emploi-public-files.ma/fichiers/upload/changementavisconcoursdesofficiers.pdf|http://emploi-public-files.ma/fichiers/upload/AVIS_CONCOURS_OFFICIERS_PC_2017.pdf|http://emploi-public-files.ma/fichiers/upload/DECISION_OUVERTURE_CONCOURS_OFFICIERS_PC_2017.pdf
concour_e0c0id8799,Délégation générale à l'administration pénitentiaire et à la réinsertion,Surveillant éducateur ~ Echelle 6,130,2017-07-31,2017-10-01,2017-07-14,http://emploi-public-files.ma/fichiers/upload/convse10.pdf|,-,-,-,Email : srep@dgapr.gov.ma,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5916.pdf
concour_e0c0id8798,Délégation générale à l'administration pénitentiaire et à la réinsertion,Surveillant éducateur ~ Echelle 6,170,2017-07-31,2017-09-17,2017-07-14,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6143.pdf|,-,-,-,Email : srep@dgapr.gov.ma,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5915.pdf
concour_e0c0id8797,Délégation générale à l'administration pénitentiaire et à la réinsertion,Officier éducateur ~ Echelle 8,20,2017-07-31,2017-09-17,2017-07-14,http://emploi-public-files.ma/fichiers/upload/201749.pdf|,-,-,-,Email : srep@dgapr.gov.ma,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5914.pdf
concour_e0c0id8796,Délégation générale à l'administration pénitentiaire et à la réinsertion,Officier éducateur principal ~ Echelle 9,60,2017-07-31,2017-09-17,2017-07-14,http://emploi-public-files.ma/fichiers/upload/201750.pdf|,-,-,-,Email : srep@dgapr.gov.ma,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5913.pdf
concour_e0c0id8795,Délégation générale à l'administration pénitentiaire et à la réinsertion,Commandant éducateur principal ~ Echelle 11,20,2017-07-31,2017-10-01,2017-07-14,http://emploi-public-files.ma/fichiers/upload/convcep10.pdf|,-,-,-,Email : srep@dgapr.gov.ma,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5912.pdf
concour_e0c0id8771,Ministère des habous et des affaires islamiques,Architecte 1er grade ~ Echelle 11,4,2017-07-25,2017-10-01,2017-07-10,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5958.pdf|,-,-,-,Nom : عبد الصمد المرابطTéléphone : 0537668666Email : concours.habous@gmail.com,http://emploi-public-files.ma/fichiers/upload/2620170001.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier5893.pdf
concour_e0c0id8770,Ministère des habous et des affaires islamiques,Adjoint technique 3ème grade ~ Echelle 6,8,2017-07-25,2017-10-01,2017-07-10,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5959.pdf|,-,-,-,Nom : عبد الصمد المرابطTéléphone : 0537668666Email : concours.habous@gmail.com,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5894.pdf|http://emploi-public-files.ma/fichiers/upload/3020170001.pdf
concour_e0c0id8769,Ministère des habous et des affaires islamiques,Administrateur 2ème grade ~ Echelle 11,44,2017-07-25,2017-10-01,2017-07-10,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5960.pdf|,-,-,-,Nom : عبد الصمد المرابطTéléphone : 0537668666Email : concours.habous@gmail.com,http://emploi-public-files.ma/fichiers/upload/2720170001.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier5895.pdf
concour_e0c0id8768,Ministère des habous et des affaires islamiques,Technicien de 4ème grade ~ Echelle 8,23,2017-07-25,2017-10-01,2017-07-10,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5961.pdf|,-,-,-,Nom : عبد الصمد المرابطTéléphone : 0537668666Email : concours.habous@gmail.com,http://emploi-public-files.ma/fichiers/upload/2300011.pdf|http://emploi-public-files.ma/fichiers/upload/2920170001.pdf
concour_e0c0id8767,Ministère des habous et des affaires islamiques,Technicien de 3ème grade ~ Echelle 9,44,2017-07-25,2017-10-01,2017-07-10,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5962.pdf|,-,-,-,Nom : عبد الصمد المرابطTéléphone : 0537668666Email : concours.habous@gmail.com,http://emploi-public-files.ma/fichiers/upload/2820170001.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier5896.pdf
concour_e0c0id8766,Ministère des habous et des affaires islamiques,Ingénieur d'Etat 1er grade ~ Echelle 11 - spécialité Génie civil,6,2017-07-25,2017-10-01,2017-07-10,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5963.pdf|,-,-,-,Nom : عبد الصمد المرابطTéléphone : 0537668666Email : concours.habous@gmail.com,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5897.pdf|http://emploi-public-files.ma/fichiers/upload/2520170001.pdf
concour_e0c0id8616,Ministère de la jeunesse et des sports,Administrateur 3ème grade ~ Echelle 10,64,2017-06-28,2017-07-02,2017-06-14,http://emploi-public-files.ma/fichiers/upload/listedescandidats110.pdf|,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6174.pdf|,http://emploi-public-files.ma/fichiers/upload/2017311.pdf|,-,Email : badreddine.reda@mjs.gov.ma,http://emploi-public-files.ma/fichiers/upload/320172.PDF|http://emploi-public-files.ma/fichiers/upload/320171.pdf
concour_e0c0id8598,Administration de la défense nationale - Gendarmerie Royale,Elève Gendarme spécialiste (par contrat) - spécialité Conducteur routier,0,1000-10-10,1000-10-10,2017-06-12,-,-,-,-,Email : ConcoursGrieRle@gmail.com,http://emploi-public-files.ma/fichiers/upload/ArabeCondctrSPAM3.pdf|http://emploi-public-files.ma/fichiers/upload/ArabeCondctrSPAM2.pdf|http://emploi-public-files.ma/fichiers/upload/FranaisCondctrSPAM1.pdf
concour_e0c0id8596,Administration de la défense nationale - Gendarmerie Royale,Elève Gendarme spécialiste (par contrat) - spécialité Musique,0,2017-06-30,1000-10-10,2017-06-12,-,-,-,-,Email : ConcoursGrieRle@gmail.com,http://emploi-public-files.ma/fichiers/upload/ARABEmusique20171.pdf|http://emploi-public-files.ma/fichiers/upload/Franaismusique2017.pdf|http://emploi-public-files.ma/fichiers/upload/ARABEmusique2017.pdf
concour_e0c0id8595,Administration de la défense nationale - Gendarmerie Royale,Elève Gendarme spécialiste (par contrat) - spécialité Cavalerie,0,2017-06-30,1000-10-10,2017-06-12,-,-,-,-,Email : ConcoursGrieRle@gmail.com,http://emploi-public-files.ma/fichiers/upload/ArabeCavalier.pdf|http://emploi-public-files.ma/fichiers/upload/FranaisCAVALIER.pdf|http://emploi-public-files.ma/fichiers/upload/ArabeCavalier1.pdf
concour_e0c0id8481,Ministère de l’intérieur -Direction de la Formation des cadres administratifs et techniques-,Technicien de 4ème grade ~ Echelle 8 - spécialité HORTICOLES ET PAYSAGE,50,2017-06-16,2017-09-24,2017-05-29,-,-,-,-,Nom : منتصر أحمدTéléphone : 0661587412Email : amountassir@interieur.gov.ma,http://emploi-public-files.ma/fichiers/upload/AVIS294.pdf
concour_e0c0id8475,Haut commissariat au plan,Professeur de l'enseignement supérieur grade A ~ Hors echelle - spécialité Systèmes d'information  ,1,2017-06-15,2017-06-20,2017-05-26,-,http://emploi-public-files.ma/fichiers/upload/LISTEINSEACONCOURSrotated1.pdf|,http://emploi-public-files.ma/fichiers/upload/resultatpainseajuin2017.pdf|,-,Téléphone : 0537774860/59Email : hzahim@insea.ac.ma,http://emploi-public-files.ma/fichiers/upload/AvisconcoursINSEA.pdf|http://emploi-public-files.ma/fichiers/upload/decisionappelcandinsea26052017.pdf
concour_e0c0id8464,Délégation générale à l'administration pénitentiaire et à la réinsertion,Surveillant éducateur ~ Echelle 6,30,2017-06-08,2017-06-11,2017-05-25,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5726.pdf|,http://emploi-public-files.ma/fichiers/upload/recult11062017.pdf|,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5821.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier5822.pdf|,-,Email : srep@dgapr.gov.ma,http://emploi-public-files.ma/fichiers/upload/201729.pdf
concour_e0c0id8463,Délégation générale à l'administration pénitentiaire et à la réinsertion,Officier éducateur principal ~ Echelle 9,48,2017-06-08,2017-06-11,2017-05-25,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5727.pdf|,http://emploi-public-files.ma/fichiers/upload/201737.pdf|,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5823.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier5824.pdf|,-,Email : srep@dgapr.gov.ma,http://emploi-public-files.ma/fichiers/upload/201728.pdf
concour_e0c0id8462,Délégation générale à l'administration pénitentiaire et à la réinsertion,Commandant éducateur principal ~ Echelle 11,26,2017-06-08,2017-06-11,2017-05-25,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5728.pdf|,http://emploi-public-files.ma/fichiers/upload/201736.pdf|,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5825.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier5826.pdf|,-,Email : srep@dgapr.gov.ma,http://emploi-public-files.ma/fichiers/upload/201727.pdf
concour_e0c0id8461,Délégation générale à l'administration pénitentiaire et à la réinsertion,Ingénieur d'Etat 1er grade ~ Echelle 11,4,2017-06-08,2017-06-11,2017-05-25,http://emploi-public-files.ma/fichiers/upload/ing50.pdf|,http://emploi-public-files.ma/fichiers/upload/201735.pdf|,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5827.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier5828.pdf|,-,Email : srep@dgapr.gov.ma,http://emploi-public-files.ma/fichiers/upload/201726.pdf
concour_e0c0id8440,Ministère de la jeunesse et des sports,Administrateur 2ème grade ~ Echelle 11 - spécialité Communication des organisations,2,2017-06-07,2017-06-11,2017-05-23,http://emploi-public-files.ma/fichiers/upload/201733.pdf|,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5759.PDF|,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5772.PDF|,http://emploi-public-files.ma/fichiers/upload/2280.pdf|,Email : *************,http://emploi-public-files.ma/fichiers/upload/2238.PDF|http://emploi-public-files.ma/fichiers/upload/22017.PDF
concour_e0c0id8339,Ministère de la Culture et de la Communication - Département de la Communication,Administrateur 2ème grade ~ Echelle 11,2,2017-06-02,2017-06-11,2017-05-17,http://emploi-public-files.ma/fichiers/upload/listecandidature3.pdf|,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5749.pdf|,http://emploi-public-files.ma/fichiers/upload/2258.pdf|,-,Email : b.elouardi@mincom.gov.ma,http://emploi-public-files.ma/fichiers/upload/councour2017.pdf
concour_e0c0id8338,Délégation Interministérielle aux Droits de l'Homme,Adjoint technique 3ème grade ~ Echelle 6,2,2017-05-31,2017-06-11,2017-05-17,http://emploi-public-files.ma/fichiers/upload/listepubliercrit.pdf|,http://emploi-public-files.ma/fichiers/upload/Liste_admis_oral.pdf|,http://emploi-public-files.ma/fichiers/upload/rsultatfinal2Chauf.pdf|,-,Téléphone : 0537270458Email : trimasse@didh.gov.ma,http://emploi-public-files.ma/fichiers/upload/avisdeconcours26.pdf|http://emploi-public-files.ma/fichiers/upload/arret23.pdf
concour_e0c0id8300,Administration de la défense nationale - Gendarmerie Royale,Elève Gendarme (par contrat),0,2017-06-02,1000-10-10,2017-05-08,-,-,-,-,Email : ConcoursGrieRle@gmail.com,http://emploi-public-files.ma/fichiers/upload/AvisConcGrieRleArabe.pdf|http://emploi-public-files.ma/fichiers/upload/AvisConcGrieRleFr.pdf|http://emploi-public-files.ma/fichiers/upload/AvisConcGrieRleArabe1.pdf
concour_e0c0id8299,"Ministère de l’Equipement, du Transport, de la Logistique et de l’Eau",Prof. de l'enseignement supérieur assistant grade A ~ Echelle 11,5,2017-05-24,2017-05-31,2017-05-06,-,-,http://emploi-public-files.ma/fichiers/upload/EHTP_LIST_ADMIS.pdf|http://emploi-public-files.ma/fichiers/upload/EHTP_LIST_ATT.pdf|,-,Nom : EHTPTéléphone : 0520420513/15Email : directionhassania@ehtp.ac.ma // sg@ehtp.ac.ma,http://emploi-public-files.ma/fichiers/upload/AvisdeconcoursEHTP.pdf|http://emploi-public-files.ma/fichiers/upload/EHTP0001.pdf
concour_e0c0id8269,"Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville - Département de l’Aménagement du territoire national, de l’Urbanisme",Prof. de l'enseignement supérieur assistant grade A ~ Echelle 11,6,2017-05-18,2017-05-23,2017-04-28,-,http://emploi-public-files.ma/fichiers/upload/listecand2mpreuveconcPASmai2017.pdf|,http://emploi-public-files.ma/fichiers/upload/nomDuFichier5829.pdf|,-,Email : aa1abdeltif@yahoo.fr,http://emploi-public-files.ma/fichiers/upload/ANNNCCONCRSPASENAINAU2.pdf|http://emploi-public-files.ma/fichiers/upload/ArrConcPASENAs05171.pdf
concour_e0c0id8268,"Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville - Département de l’Aménagement du territoire national, de l’Urbanisme",Prof. de l'enseignement supérieur assistant grade A ~ Echelle 11,2,2017-05-18,2017-05-23,2017-04-28,-,http://emploi-public-files.ma/fichiers/upload/listecandid2epreuvconcrsrecrPAmai17INAU.pdf|,http://emploi-public-files.ma/fichiers/upload/Copie2.pdf|,-,Email : aa1abdeltif@yahoo.fr,http://emploi-public-files.ma/fichiers/upload/ArrConcINAU517.pdf|http://emploi-public-files.ma/fichiers/upload/ANNNCCONCRSPASENAINAU.pdf
concour_e0c0id8258,"Ministère de l’Industrie, de l’Investissement, du Commerce et de l’Economie numérique",Administrateur 2ème grade ~ Echelle 11 - spécialité Audit contrôle gestion-Marketing-Droit affaires Fr,7,2017-05-13,2017-05-21,2017-04-27,http://emploi-public-files.ma/fichiers/upload/listedescandidatsconvoquscritadministrateurs.pdf|,http://emploi-public-files.ma/fichiers/upload/Rsultatconcourscritadm2017.pdf|,http://emploi-public-files.ma/fichiers/upload/RsultatlisteadmisADM.pdf|http://emploi-public-files.ma/fichiers/upload/RsultatlisteattenteADM.pdf|,-,Téléphone : 0522205955/57Email : contact@concours-recrutement.ma,http://emploi-public-files.ma/fichiers/upload/arrt210.pdf|http://emploi-public-files.ma/fichiers/upload/avis275.pdf
