 Id,            Etablissement organisateur,            Grade,            Nombre postes,            Dèlai dépot,            Date concours,            Date publication,            Candidats convoqués pour l'examen écrit,            Candidats convoqués pour l'entretien oral,            Résultats,            Désistements,            Pour plus d'informations,            Fichiers attachés
concour_e1c0id9410,Comité National de Prévention des Accidents de la Circulation,Technicien de 3ème grade ~ Echelle 9,1,2017-10-27,2017-11-15,2017-10-10,-,-,-,-,Nom : المصلحة الإداريةTéléphone : 0537712280Email : nassir@cnpac.gov.ma,http://emploi-public-files.ma/fichiers/upload/AvisderecrutementTechniciengestiondesentreprises20172filesmerged.pdf
concour_e1c0id9409,Atlas On Line /groupe RAM,TELECONSEILLER (par contrat),13,2017-10-27,1000-10-10,2017-10-10,-,-,-,-,Nom : Kassi ChahrazadeTéléphone : 0522489762Email : ckassi@atlasonline.ma,http://emploi-public-files.ma/fichiers/upload/AnnonceteleoperateurfS0101025.pdf
concour_e1c0id9408,Caisse de Dépôt et de Gestion,Responsable Entité Gestion Portefeuilles,1,2017-10-23,1000-10-10,2017-10-09,-,-,-,-,Téléphone : 0537669000Email : drh@cdg.ma,http://emploi-public-files.ma/fichiers/upload/ACEResponsableEntitGestionPortefeuilles.pdf
concour_e1c0id9407,Caisse de Dépôt et de Gestion -Pôle Prévoyance-,Chargé de sécurité Informatique,1,2017-10-24,1000-10-10,2017-10-09,-,-,-,-,Téléphone : 053718181Email : drh@rcar.ma,http://emploi-public-files.ma/fichiers/upload/Chargdescuritinformatique.pdf
concour_e1c0id9405,Centre Hospitalier Ibn Rochd,Infirmier diplômé d'Etat de 2ème grade ~ Echelle 9,80,2017-10-27,2017-11-11,2017-10-09,-,-,-,-,Nom : الخوخي ثوريةTéléphone : 0522481010Email : t.elkhoukhi@chucasa.ma,http://emploi-public-files.ma/fichiers/upload/concoursrecrutementIDE2G11112017.pdf
concour_e1c0id9392,Groupe Institut supérieur de commerce et d'administration des entreprises,Prof. de l'enseignement supérieur assistant grade A ~ Echelle 11 (par contrat),1,2017-10-27,2017-11-14,2017-10-06,-,-,-,-,Nom : فؤاد المصطفىTéléphone : 0663035336Email : mostafafouad@ymail.com,http://emploi-public-files.ma/fichiers/upload/ANNONCESPISCAEProfassoci.pdf
concour_e1c0id9391,Agence urbaine et de sauvegarde de Fès,Technicien en architecture et urbanisme,2,2017-10-23,2017-11-23,2017-10-06,-,-,-,-,Nom : بحار احمدTéléphone : 0535930181Email : ausf@menara.ma,http://emploi-public-files.ma/fichiers/upload/nomDuFichier6226.pdf
concour_e1c0id9390,Office de la Formation Professionnelle et de la Promotion du Travail,FORMATEUR EN MATERIAUX COMPOSITES EN AERONAUTIQUE,4,2017-10-27,1000-10-10,2017-10-04,-,-,-,-,Téléphone : 0522634444Email : recrutement@ofppt.ma,http://emploi-public-files.ma/fichiers/upload/annonceformateurMatriauxCompositesenAronautique.pdf|http://emploi-public-files.ma/fichiers/upload/FORMULAIREDECANDIDATURE212.pdf
concour_e1c0id9389,Office National des Pêches,Informaticien à Tan Tan,1,2017-10-23,1000-10-10,2017-10-04,-,-,-,-,Nom : ONPTéléphone : 0522240551Email : onp.ma,http://emploi-public-files.ma/fichiers/upload/AvisdappelcandidaturepourleposteduninformaticienTanTan.pdf
concour_e1c0id9388,Office de la Formation Professionnelle et de la Promotion du Travail,FORMATEUR EN CHAUDRONNERIE AERONAUTIQUE,2,2017-10-27,1000-10-10,2017-10-04,-,-,-,-,Téléphone : 0522634444Email : recrutement@ofppt.ma,http://emploi-public-files.ma/fichiers/upload/annonceformateurChaudronnerieAronautique.pdf|http://emploi-public-files.ma/fichiers/upload/FORMULAIREDECANDIDATURE211.pdf
concour_e1c0id9387,Office de la Formation Professionnelle et de la Promotion du Travail,FORMATEUR EN AJUSTAGE-MONTAGE DE CELLULES AERONEFS,4,2017-10-27,1000-10-10,2017-10-04,-,-,-,-,Téléphone : 0522634444Email : recrutement@ofppt.ma,http://emploi-public-files.ma/fichiers/upload/FORMULAIREDECANDIDATURE210.pdf|http://emploi-public-files.ma/fichiers/upload/annonceformateurAjustagemontagedecellulesdaronefs.pdf
concour_e1c0id9386,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité Mathématiques-Informatiques au profit de L’Ecole Supérieure de Technologie- Agadir,2,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe4.pdf
concour_e1c0id9385,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité Biologie au profit de L’Ecole Supérieure de Technologie- Agadir,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe4.pdf
concour_e1c0id9384,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité Langues et communication au profit de L’Ecole Supérieure de Technologie- Agadir,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe4.pdf
concour_e1c0id9383,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité Economie et Gestion au profit de L’Ecole Supérieure de Technologie- Agadir,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe4.pdf
concour_e1c0id9382,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité Informatique au profit de L’Ecole Nationale des Sciences Appliquées -Agadir-,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe4.pdf
concour_e1c0id9381,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité Mécanique et Génie mécanique au profit de L’Ecole Nationale des Sciences Appliquées -Agadir-,2,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe4.pdf
concour_e1c0id9380,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité Génie Civil au profit de L’Ecole Nationale des Sciences Appliquées -Agadir-,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe4.pdf
concour_e1c0id9379,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité Génie électrique au profit de L’Ecole Nationale des Sciences Appliquées -Agadir-,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe4.pdf
concour_e1c0id9378,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité اللغة العربية au profit de la Faculté Oloum Chariaya -Smara-,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe3.pdf
concour_e1c0id9377,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité Droit privé au profit de la Faculté Oloum Chariaya -Smara-,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe3.pdf
concour_e1c0id9376,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité العلوم الشرعية au profit de la Faculté Oloum Chariaya -Smara-,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe3.pdf
concour_e1c0id9375,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité العلوم الشرعية au profit de la Faculté Chariaa -Ait Melloul-,2,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe3.pdf
concour_e1c0id9374,Université Ibn Zohr - Agadir, Professeur Assistant Grade A spécialité Droit privé au profit de la Faculté Chariaa -Ait Melloul-,2,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe3.pdf
concour_e1c0id9373,Université Ibn Zohr - Agadir," Professeur Assistant Grade A spécialité Statistiques - Probabilité au profit de la Faculté des Sciences Juridiques, Economiques et Sociales -Ait Melloul-",2,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9372,Université Ibn Zohr - Agadir," Professeur Assistant Grade A spécialité Economie et Gestion au profit de la Faculté des Sciences Juridiques, Economiques et Sociales -Ait Melloul-",6,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9371,Université Ibn Zohr - Agadir," Professeur Assistant Grade A spécialité Droit privé au profit de la Faculté des Sciences Juridiques, Economiques et Sociales -Ait Melloul-",6,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9370,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Mathématiques-Statistiques au profit du Centre Universitaire de Geulmim,2,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9369,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Economie et Gestion au profit du Centre Universitaire de Geulmim,3,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9368,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Droit privé au profit du Centre Universitaire de Geulmim,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9367,Université Ibn Zohr - Agadir,"Professeur Assistant Grade A spécialité Economie et Gestion au profit de la Faculté des Sciences Juridiques, Economiques et Sociales –Agadir",3,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9366,Université Ibn Zohr - Agadir,"Professeur Assistant Grade A spécialité Droit privé au profit de la Faculté des Sciences Juridiques, Economiques et Sociales –Agadir",3,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9365,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Géographie au profit du Centre d’études en Lettres et sciences Humaines -Ait Melloul-,3,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9364,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Anglais au profit du Centre d’études en Lettres et sciences Humaines -Ait Melloul-,4,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9363,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Français au profit du Centre d’études en Lettres et sciences Humaines -Ait Melloul-,4,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9362,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Etudes Islamiques au profit de la Faculté des Lettres et des Sciences Humaines d’Agadir,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9361,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Géographie au profit de la Faculté des Lettres et des Sciences Humaines d’Agadir,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9360,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Histoire au profit de la Faculté des Lettres et des Sciences Humaines d’Agadir,2,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9359,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Sociologie au profit de la Faculté des Lettres et des Sciences Humaines d’Agadir,3,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9358,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Anglais au profit de la Faculté des Lettres et des Sciences Humaines d’Agadir,4,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9357,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Analyse au profit du Centre d’études en sciences et techniques -Ait Melloul-,2,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9356,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Algèbre au profit du Centre d’études en sciences et techniques -Ait Melloul-,2,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9355,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Géologie au profit du Centre d’études en sciences et techniques -Ait Melloul-,1,2018-01-02,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
concour_e1c0id9354,Université Ibn Zohr - Agadir,Professeur Assistant Grade A spécialité Biophysique au profit du Centre d’études en sciences et techniques -Ait Melloul-,1,2017-10-25,2018-01-17,2017-10-03,-,-,-,-,Nom : فؤاد حنينTéléphone : 0528227125Email : admin-uiz@uiz.ac.ma,http://emploi-public-files.ma/fichiers/upload/annoncederecrutementarabe2.pdf
