 Id,            Emploi,            Autorité Gouvernementale,            Arrêté,            Date limite de dépot des candidatures,            Date de publication,            Pour plus d'informations,            Fichiers attachés
emploi_737,"Directeur de l'Ecole de Commerce et de Gestion, Oujda","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/avisar4.pdf","2017-11-17","2017-10-04","Nom : -Téléphone : -Email : candidature.enssup@outlook.com",-
emploi_736,"Inspecteur Régional de l'Urbanisme de l'Architecture et de l'Aménagement du Territoire national de la Région de Guelmim-Oued Noun","Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville","http://emploi-public-files.ma/fichiers/upload/AOCIRGuelmimOuedNoun.pdf","2017-10-20","2017-10-04","Nom : عبد اللطيف الشنايفيTéléphone : 0658940549Email : chnaifi@muat.gov.ma",http://emploi-public-files.ma/fichiers/upload/Modele_normalise_emplois_superieurs28arabe294119.doc
emploi_735,"Directeur général de la fondation Mohammedia des œuvres sociales des magistrats et fonctionnaires de la justice  (Prolongation)","Ministère de la justice","http://emploi-public-files.ma/fichiers/upload/S22C6e17100302130.pdf","2017-10-13","2017-10-03","Nom : المؤسسة المحمديةTéléphone : 0537724406Email : ramses_kriem@yahoo.fr",http://emploi-public-files.ma/fichiers/upload/122321.pdf|http://emploi-public-files.ma/fichiers/upload/modlecandidatureDG1.pdf
emploi_734,"Directeur de l'Institut Agronomique et Vétérinaire Hassan II","Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts","http://emploi-public-files.ma/fichiers/upload/ACIAVH21.pdf","2017-10-27","2017-09-29","Téléphone : 0537103173Email : emplois_superieurs@agriculture.gov.ma",http://emploi-public-files.ma/fichiers/upload/FicheposteIAVH21.pdf
emploi_733,"Directeur de l'Ecole Nationale des Sciences Appliquées, Tanger","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/AvisFSTetENSATg.PDF","2017-11-17","2017-09-29","Nom : -Téléphone : -Email : candidature.enssup@outlook.com",-
emploi_732,"Doyen de la Faculté des Sciences et Techniques, Tanger","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/AvisFSTetENSATg.PDF","2017-11-17","2017-09-29","Nom : -Téléphone : -Email : candidature.enssup@outlook.com",-
emploi_731,"Directeur de l'Ecole Supérieure de Technologie, Agadir","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/nomDuFichier6214.pdf","2017-11-24","2017-09-29","Nom : -Téléphone : -Email : candidature.enssup@outlook.com",-
emploi_730,"Directeur de l'Ecole Nationale des Sciences Appliquées, Agadir","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/nomDuFichier6214.pdf","2017-11-24","2017-09-29","Nom : -Téléphone : -Email : candidature.enssup@outlook.com",-
emploi_729,"Directeur de l'Ecole de Commerce et de Gestion, Agadir","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/nomDuFichier6214.pdf","2017-11-24","2017-09-29","Nom : -Téléphone : -Email : candidature.enssup@outlook.com",-
emploi_728,"Inspecteur Régional de l'Urbanisme de l'Architecture et de l'Aménagement du Territoire national de la Région de Laâyoune Sakia El Hamra","Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville","http://emploi-public-files.ma/fichiers/upload/AOCIRLaayoune.pdf","2017-10-13","2017-09-27","Nom : عبد اللطيف الشنايفيTéléphone : 0658940549Email : chnaifi@muat.gov.ma",http://emploi-public-files.ma/fichiers/upload/Modele_normalise_emplois_superieurs28arabe294118.doc
emploi_727,"DIRECTEUR DE L'AGENCE URBAINE D'ESSAOUIRA (Prolongation)","Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville","http://emploi-public-files.ma/fichiers/upload/AOCAUESSAOUIRA.pdf","2017-10-13","2017-09-27","Nom : عبد الكريم بناني Téléphone : 0661046310Email : bennani_abdelkrim@yahoo.fr",http://emploi-public-files.ma/fichiers/upload/Modele_normalise_emplois_superieurs28arabe294117.doc
emploi_726,"DIRECTEUR DE L'AGENCE URBAINE D'OUARZAZATE (Prolongation)","Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville","http://emploi-public-files.ma/fichiers/upload/AOCAUOUARZAZAT.pdf","2017-10-13","2017-09-27","Nom : عبد الكريم بناني Téléphone : 0661046310Email : bennani_abdelkrim@yahoo.fr",http://emploi-public-files.ma/fichiers/upload/Modele_normalise_emplois_superieurs28arabe294116.doc
emploi_725,"DIRECTEUR DE L'AGENCE URBAINE DE TAROUDANT","Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville","http://emploi-public-files.ma/fichiers/upload/AOCAUTAROUDANT.pdf","2017-10-13","2017-09-27","Nom : عبد الكريم بناني Téléphone : 0661046310Email : bennani_abdelkrim@yahoo.fr",http://emploi-public-files.ma/fichiers/upload/Modele_normalise_emplois_superieurs28arabe294115.doc
emploi_724,"DIRECTEUR DE L'AGENCE URBAINE D'AGADIR (Prolongation)","Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville","http://emploi-public-files.ma/fichiers/upload/AOCAUAGADIR.pdf","2017-10-13","2017-09-27","Nom : عبد الكريم بناني Téléphone : 0661046310Email : bennani_abdelkrim@yahoo.fr",http://emploi-public-files.ma/fichiers/upload/Modele_normalise_emplois_superieurs28arabe294114.doc
emploi_723,"DIRECTEUR DE L'AGENCE URBAINE D'OUJDA (Prolongation)","Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville","http://emploi-public-files.ma/fichiers/upload/AOCAUOUJDA.pdf","2017-10-13","2017-09-27","Nom : عبد الكريم بناني Téléphone : 0661046310Email : bennani_abdelkrim@yahoo.fr",http://emploi-public-files.ma/fichiers/upload/Modele_normalise_emplois_superieurs28arabe294113.doc
emploi_722,"Directeur de l'ecole Nationale Supérieure des Arts et Metiers, Casablanca","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/nomDuFichier6191.pdf","2017-11-13","2017-09-25","Nom : -Téléphone : -Email : m.elyabouri@enssup.gov.ma",-
emploi_721,"Directeur de l'Ecole Supérieure de Technologie, Béni-Mellal","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/AnnonceARDoyensESTetFST4.pdf","2017-11-03","2017-09-25","Nom : -Téléphone : -Email : m.elyabouri@enssup.gov.ma",-
emploi_720,"Doyen de la Faculté des Sciences et Techniques, Béni-Mellal","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/AnnonceARDoyensESTetFST4.pdf","2017-11-03","2017-09-25","Nom : -Téléphone : -Email : m.elyabouri@enssup.gov.ma",-
emploi_717,"Directeur de l’Académie Régionale d'Éducation et de Formation SOUS MASSA (Prolongation)","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Education nationale et la Formation professionnelle","http://emploi-public-files.ma/fichiers/upload/17032182017.pdf","2017-10-09","2017-09-19","Nom : نور الدين ناجيTéléphone : 0666285666Email : nnaji39@gmail.com",http://emploi-public-files.ma/fichiers/upload/ProjetdannonceDAREFsousMassa15092017.pdf
emploi_716,"Directeur de l’Académie Régionale d'Éducation et de Formation Laayoune Sakia Hamra","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Education nationale et la Formation professionnelle","http://emploi-public-files.ma/fichiers/upload/17033182017.pdf","2017-10-09","2017-09-19","Nom : نور الدين ناجيTéléphone : 0666285666Email : nnaji39@gmail.com",http://emploi-public-files.ma/fichiers/upload/ProjetdannonceDAREFLAAYOUN15092017.pdf
emploi_715,"Directeur de l’Académie Régionale d'Éducation et de Formation GUELMIM OUED NOUN","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Education nationale et la Formation professionnelle","http://emploi-public-files.ma/fichiers/upload/170341820171.pdf","2017-10-09","2017-09-19","Nom : نور الدين ناجيTéléphone : 0666285666Email : nnaji39@gmail.com",http://emploi-public-files.ma/fichiers/upload/ProjetdannonceDAREFGuelmim15092017.pdf
emploi_714,"Directeur de l’Académie Régionale d'Éducation et de Formation de FES MEKNES","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Education nationale et la Formation professionnelle","http://emploi-public-files.ma/fichiers/upload/17035182017.pdf","2017-10-09","2017-09-19","Nom : نور الدين ناجيTéléphone : 0666285666Email : nnaji39@gmail.com",http://emploi-public-files.ma/fichiers/upload/ProjetdannonceDAREFFES15092017.pdf
emploi_713,"Directeur de l’Académie Régionale d'Éducation et de Formation de Béni Mellal-Khénifra ","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Education nationale et la Formation professionnelle","http://emploi-public-files.ma/fichiers/upload/170361820171.pdf","2017-10-09","2017-09-19","Nom : نور الدين ناجيTéléphone : 0666285666Email : nnaji39@gmail.com",http://emploi-public-files.ma/fichiers/upload/ProjetdannonceDAREFbenimellal150920171.pdf
emploi_712,"Directeur de la Diplomatie Publique et des Acteurs non Étatiques","Ministère des Affaires étrangères et de la coopération internationale","http://emploi-public-files.ma/fichiers/upload/DDP.pdf","2017-09-25","2017-09-15","Téléphone : .Email : .",http://emploi-public-files.ma/fichiers/upload/DDPF1.pdf|http://emploi-public-files.ma/fichiers/upload/FORMULAIRE1547.pdf
emploi_711,"Directeur de la Promotion et de la Coopération Économiques","Ministère des Affaires étrangères et de la coopération internationale","http://emploi-public-files.ma/fichiers/upload/DPCECD.pdf","2017-09-25","2017-09-15","Téléphone : .Email : .",http://emploi-public-files.ma/fichiers/upload/FORMULAIRE1546.pdf|http://emploi-public-files.ma/fichiers/upload/DPCEF.pdf
emploi_710,"Directeur de la Coopération et de l’Action Culturelles","Ministère des Affaires étrangères et de la coopération internationale","http://emploi-public-files.ma/fichiers/upload/DACcanddir.pdf","2017-09-25","2017-09-15","Téléphone : .Email : .",http://emploi-public-files.ma/fichiers/upload/DACF.pdf|http://emploi-public-files.ma/fichiers/upload/FORMULAIRE1545.pdf
emploi_709,"Directeur des Affaires Américaines  ","Ministère des Affaires étrangères et de la coopération internationale","http://emploi-public-files.ma/fichiers/upload/DAAMCandiddir.pdf","2017-09-25","2017-09-15","Téléphone : .Email : .",http://emploi-public-files.ma/fichiers/upload/DAAMF.pdf|http://emploi-public-files.ma/fichiers/upload/FORMULAIRE1544.pdf
emploi_708,"Directeur des Affaires Asiatiques et de l’Océanie","Ministère des Affaires étrangères et de la coopération internationale","http://emploi-public-files.ma/fichiers/upload/DAAOcanddir.pdf","2017-09-25","2017-09-15","Téléphone : .Email : .",http://emploi-public-files.ma/fichiers/upload/FORMULAIRE1543.pdf|http://emploi-public-files.ma/fichiers/upload/DAAOF.pdf
emploi_707,"Directeur du Machrek, du Golfe et des Organisations Arabes et Islamique","Ministère des Affaires étrangères et de la coopération internationale","http://emploi-public-files.ma/fichiers/upload/DMACHcanddir.pdf","2017-09-25","2017-09-15","Téléphone : .Email : .",http://emploi-public-files.ma/fichiers/upload/DMACHF.pdf|http://emploi-public-files.ma/fichiers/upload/FORMULAIRE1542.pdf
emploi_706,"Directeur du Grand Maghreb et des Affaires de l’UMA","Ministère des Affaires étrangères et de la coopération internationale","http://emploi-public-files.ma/fichiers/upload/DMAGHCand_Dir.pdf","2017-09-25","2017-09-15","Téléphone : .Email : .",http://emploi-public-files.ma/fichiers/upload/DMAGHF.pdf|http://emploi-public-files.ma/fichiers/upload/FORMULAIRE1541.pdf
emploi_705,"Directeur de l'Ecole Supérieure de Technologie, Meknès","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/nomDuFichier6142.pdf","2017-11-03","2017-09-13","Nom : -Téléphone : -Email : m.elyabouri@enssup.gov.ma",-
emploi_704,"Directeur de l'Ecole Nationale des Sciences Appliquées, Khouribga","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/Etablissements_UHP_Settat_AR.pdf","2017-11-03","2017-09-12","Nom : -Téléphone : -Email : m.elyabouri@enssup.gov.ma",-
emploi_703,"Directeur de l'Institut de Sport, Settat","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/Etablissements_UHP_Settat_AR.pdf","2017-11-03","2017-09-12","Nom : -Téléphone : -Email : m.elyabouri@enssup.gov.ma",-
emploi_702,"Doyen de la Faculté des Sciences et Techniques, Settat","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/Etablissements_UHP_Settat_AR.pdf","2017-11-03","2017-09-12","Nom : -Téléphone : -Email : m.elyabouri@enssup.gov.ma",-
emploi_701,"Secrétaire Général du Secrétariat d'Etat chargé de la Formation Professionnelle","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Education nationale et la Formation professionnelle","http://emploi-public-files.ma/fichiers/upload/AppelcandidaturesSG.pdf","2017-09-25","2017-09-11","Nom : كتابة السيد الوزيرTéléphone : 0537657088Email : secministre.sefp@gmail.com",http://emploi-public-files.ma/fichiers/upload/Modele_formulaire_emplois_superieurs.doc
emploi_700,"Directeur de l'Ecole Normale supérieure, Meknès","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/annoncearabe.pdf","2017-10-20","2017-09-05","Nom : -Téléphone : -Email : m.elyabouri@enssup.gov.ma",-
emploi_699,"directeur de l'ecole Nationale Supérieure des Arts et Metiers, Meknès","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/annoncearabe.pdf","2017-10-20","2017-09-05","Nom : -Téléphone : -Email : m.elyabouri@enssup.gov.ma",-
emploi_698,"Directeur de l'Observatoire National pour le Marché du Travail","Ministère de l’Emploi et de l’Insertion Professionnelle","http://emploi-public-files.ma/fichiers/upload/Arreteobservatoir2017.pdf","2017-09-20","2017-09-04","Téléphone : 0537760521Email : dgrh.emploi@gmail.com",http://emploi-public-files.ma/fichiers/upload/Modele_normalise_emplois_superieurs17.docx
emploi_697,"Inspecteur Général du Ministère du Travail et d'Insertion Professionnelle","Ministère de l’Emploi et de l’Insertion Professionnelle","http://emploi-public-files.ma/fichiers/upload/ArreteIG2017.pdf","2017-09-20","2017-09-04","Téléphone : 0537760521Email : dgrh.emploi@gmail.com",http://emploi-public-files.ma/fichiers/upload/ficheposteIG2017.pdf|http://emploi-public-files.ma/fichiers/upload/Modele_normalise_emplois_superieurs16.docx
emploi_696,"Directeur de l'Enseignement, de la Formation et de la Recherche","Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts","http://emploi-public-files.ma/fichiers/upload/ACDEFR.pdf","2017-09-22","2017-09-04","Téléphone : 0537103173/74Email : emplois_superieurs@agriculture.gov.ma",http://emploi-public-files.ma/fichiers/upload/fichedeposteDEFR.pdf
emploi_695,"Directeur Général de l'Agence pour le Développement Agricole","Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts","http://emploi-public-files.ma/fichiers/upload/ACDGADA1.pdf","2017-09-22","2017-09-04","Téléphone : 0537103173/74Email : emplois_superieurs@agriculture.gov.ma",http://emploi-public-files.ma/fichiers/upload/ficheposteDGADA.pdf
emploi_694,"Directeur de l'Ecole Nationale d'Agriculture de Meknès (ENAM)","Ministère de l’Agriculture, de la Pêche maritime, du développement rural et des eaux et forêts","http://emploi-public-files.ma/fichiers/upload/DECISIONDIRECTEURENAM.pdf","2017-09-08","2017-08-16","Téléphone : 0537103173Email : emplois_superieurs@agriculture.gov.ma",http://emploi-public-files.ma/fichiers/upload/FPDIRECTEURENAM.pdf
emploi_693,"Directeur de l’Ecole Nationale Supérieure des Mines de Rabat","Ministère de l’Energie, des Mines et du Développement durable","http://emploi-public-files.ma/fichiers/upload/nomDuFichier6079.pdf","2017-10-02","2017-08-15","Nom : Mme Hasnae karroumTéléphone : 0641993909Email : h.karroum@mem.gov.ma",http://emploi-public-files.ma/fichiers/upload/nomDuFichier6080.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier6082.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier6081.pdf
emploi_692,"Directeur de l’institut National de l’Action Social Tanger   (Prolongation)","Ministère de la Famille, de la Solidarité, de l’Egalité et du Développement social","http://emploi-public-files.ma/fichiers/upload/prolo_inas_2017.pdf","2017-09-29","2017-08-11","Nom : Abdallah MEHIMDATETéléphone : 053760684060Email : abdallahmehimdate@gmail.com",http://emploi-public-files.ma/fichiers/upload/CV_INAS_20171.docx|http://emploi-public-files.ma/fichiers/upload/Avis_INAS08171.pdf
emploi_691,"Directeur général de l'industrie","Ministère de l’Industrie, de l’Investissement, du Commerce et de l’Economie numérique","http://emploi-public-files.ma/fichiers/upload/Arrt75.pdf","2017-08-22","2017-08-07","Téléphone : 0537751630Email : candidature@mcinet.gov.ma",http://emploi-public-files.ma/fichiers/upload/FichedeposteN1.pdf
emploi_690,"Directeur des affaires juridiques et du contentieux","Ministère de l’Industrie, de l’Investissement, du Commerce et de l’Economie numérique","http://emploi-public-files.ma/fichiers/upload/Arrt74.pdf","2017-08-22","2017-08-07","Téléphone : 0537751630Email : candidature@mcinet.gov.ma",http://emploi-public-files.ma/fichiers/upload/FichedeposteN5.pdf
emploi_689,"Directeur des industries du textile et du cuir","Ministère de l’Industrie, de l’Investissement, du Commerce et de l’Economie numérique","http://emploi-public-files.ma/fichiers/upload/Arrt73.pdf","2017-08-22","2017-08-07","Téléphone : 0537751630Email : candidature@mcinet.gov.ma",http://emploi-public-files.ma/fichiers/upload/FichedeposteN4.pdf
emploi_688,"Directeur des Industries Aéronautiques , Ferroviaires, ","Ministère de l’Industrie, de l’Investissement, du Commerce et de l’Economie numérique","http://emploi-public-files.ma/fichiers/upload/Arrt72.pdf","2017-08-22","2017-08-07","Téléphone : 0537751630Email : candidature@mcinet.gov.ma",http://emploi-public-files.ma/fichiers/upload/FichedeposteN3.pdf
emploi_687,"Directeur des industries de l'automobile","Ministère de l’Industrie, de l’Investissement, du Commerce et de l’Economie numérique","http://emploi-public-files.ma/fichiers/upload/Arrt71.pdf","2017-08-22","2017-08-07","Téléphone : 0537751630Email : candidature@mcinet.gov.ma",http://emploi-public-files.ma/fichiers/upload/FichedeposteN21.pdf
emploi_686,"Directeur de l'Ecole Supérieure des Mines de Rabat","Ministère de l’Energie, des Mines et du Développement durable","http://emploi-public-files.ma/fichiers/upload/nomDuFichier5954.pdf",1000-10-10,"2017-07-28","Nom : Mme Hasnae karroumTéléphone : 0641993909Email : h.karroum@mem.gov.ma",http://emploi-public-files.ma/fichiers/upload/nomDuFichier5955.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier5956.pdf|http://emploi-public-files.ma/fichiers/upload/nomDuFichier5957.pdf
emploi_682,"Président de l'Université Sidi Mohammed Ben Abdellah, Fès","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/Annonce_BO_USMBA.pdf","2017-09-08","2017-07-24","Nom : -Téléphone : 0537217619Email : m.elyabouri@enssup.gov.ma",-
emploi_681,"Directeur de l'Institut Supérieur d'Etudes Maritimes","Ministère de l’Equiliement, du Transliort et de la Logistique","http://emploi-public-files.ma/fichiers/upload/Arreteisemdir2017.pdf","2017-09-08","2017-07-21","Nom : مديرية الموارد البشريةTéléphone : 0538003500Email : mouvement@mtpnet.gov.ma",http://emploi-public-files.ma/fichiers/upload/Avisisemdir20172.pdf|http://emploi-public-files.ma/fichiers/upload/ficheposteisemdir20171.docx|http://emploi-public-files.ma/fichiers/upload/ISEMDossierdir2017.pdf
emploi_680,"Directeur de l'Ecole Hassania des Travaux Publics","Ministère de l’Equiliement, du Transliort et de la Logistique","http://emploi-public-files.ma/fichiers/upload/Arreteehtp2017.pdf","2017-09-08","2017-07-21","Nom : مديرية الموارد البشريةTéléphone : 0538005300Email : drh@mtpnet.gov.ma",http://emploi-public-files.ma/fichiers/upload/Hassaniadossierdir2017.pdf|http://emploi-public-files.ma/fichiers/upload/Avisehtp2017.pdf|http://emploi-public-files.ma/fichiers/upload/ficheposteEHTP.docx
emploi_679,"Directeur de l'Ecole Nationale d'Architecture de Fès (Prolongation)","Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville","http://emploi-public-files.ma/fichiers/upload/AOCENAdeFES.pdf","2017-08-01","2017-07-12","Téléphone : 0658940549Email : chnaifi@muat.gov.ma",http://emploi-public-files.ma/fichiers/upload/656312017.pdf|http://emploi-public-files.ma/fichiers/upload/Modele_normalise_emplois_superieurs28arabe294110.doc
emploi_678,"Directeur de l'Ecole Nationale d'Architecture de Rabat (Prolongation)","Ministère de l’Aménagement du territoire national, de l’Urbanisme, de l’Habitat et de la Politique de la ville","http://emploi-public-files.ma/fichiers/upload/AOCENAdeRABAT.pdf","2017-08-01","2017-07-12","Téléphone : 0658940549Email : chnaifi@muat.gov.ma",http://emploi-public-files.ma/fichiers/upload/656412017.pdf|http://emploi-public-files.ma/fichiers/upload/Modele_normalise_emplois_superieurs28arabe29419.doc
emploi_677,"Secrétaire Générale du Secrétariat d’Etat chargé du Développement Durable","Ministère de l’Energie, des Mines et du Développement durable","http://emploi-public-files.ma/fichiers/upload/Arrtn155.pdf","2017-07-20","2017-07-10","Téléphone : 0537570582Email : elmahrari@environnement.gov.ma",http://emploi-public-files.ma/fichiers/upload/nomDuFichier253.doc
emploi_676,"Doyen de la Faculté des Lettres et des Sciences Humaines, Marrakech","Ministère de l’Education nationale, de la Formation professionnelle, de l’Enseignement supérieur et de la Recherche scientifique - Enseignement supérieur et de la Recherche scientifique","http://emploi-public-files.ma/fichiers/upload/nomDuFichier5866.pdf","2017-08-28","2017-07-05","Nom : -Téléphone : -Email : m.elyabouri@enssup.gov.ma",-
